config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	zero_iso_weight	dropout_iso_weight	constrained_zero_scale	p_bio_temp	p_bio_bias	thr_drop	p_bio_nz_scale	post_log_quantile	proxy_calib_shrink	proxy_bio_weight	proxy_impute_alpha	proxy_mean_mode	proxy_calib_min_points	avg_rmse	avg_bz_rmse	score
19	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	0.0	0.0	all	20	1.1893032491207123	0.5575432106852531	1.1521948352456093
20	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	0.0	0.0	nz	20	1.1893032491207123	0.5575432106852531	1.1521948352456093
25	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	0.5	0.0	all	20	1.1634175181388855	0.5853841677308083	1.167092926800251
26	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	0.5	0.0	nz	20	1.1634175181388855	0.5853841677308083	1.167092926800251
7	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.0	0.5	0.0	all	20	1.73190500581691	0.3166862113433093	1.1826387142517643
8	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.0	0.5	0.0	nz	20	1.73190500581691	0.3166862113433093	1.1826387142517643
31	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	1.0	0.0	all	20	1.156795859336853	0.6096089631319046	1.1880068928003311
32	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	1.0	0.0	nz	20	1.156795859336853	0.6096089631319046	1.1880068928003311
1	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	all	20	1.75247289223987	0.3125466708568744	1.1887831169768095
2	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	nz	20	1.75247289223987	0.3125466708568744	1.1887831169768095
13	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.0	1.0	0.0	all	20	1.7274869041018437	0.33125794696514643	1.1950013990160682
14	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.0	1.0	0.0	nz	20	1.7274869041018437	0.33125794696514643	1.1950013990160682
3	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.0	0.0	0.5	all	20	1.596386798803608	0.8113127594401864	1.6095061588419903
9	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.0	0.5	0.5	all	20	1.5917684665386211	0.8292551963890282	1.6251394296583388
15	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.0	1.0	0.5	all	20	1.5912282764214494	0.8470509851662583	1.642665123376983
4	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.0	0.0	0.5	nz	20	1.5931110693006119	0.9602870469514645	1.7568425816017705
21	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	0.0	0.5	all	20	1.1607471108436584	1.1785071641206741	1.7588807195425034
10	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.0	0.5	0.5	nz	20	1.5891046410049532	0.9774570983099169	1.7720094188123934
16	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.0	1.0	0.5	nz	20	1.5891150962819047	0.9962706928243129	1.7908282409652654
27	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	0.5	0.5	all	20	1.1735050082206726	1.210578367114067	1.7973308712244034
33	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	1.0	0.5	all	20	1.1754808723926544	1.2334608137607574	1.8212012499570847
22	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	0.0	0.5	nz	20	1.1733497977256775	1.3445728421211243	1.931247740983963
28	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	0.5	0.5	nz	20	1.1883978843688965	1.3757970929145813	1.9699960350990295
34	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	1.0	0.5	nz	20	1.1918780505657196	1.4002287089824677	1.9961677342653275
11	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.0	0.5	1.0	all	20	1.5882513243874576	1.4699029598732172	2.264028622066946
17	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.0	1.0	1.0	all	20	1.5882513243874576	1.4699029598732172	2.264028622066946
5	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.0	0.0	1.0	all	20	1.5888284708746445	1.4766950407306374	2.2711092761679597
12	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.0	0.5	1.0	nz	20	1.618718529675968	1.7917092020899883	2.6010684669279724
18	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.0	1.0	1.0	nz	20	1.618718529675968	1.7917092020899883	2.6010684669279724
6	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.0	0.0	1.0	nz	20	1.6192839597336355	1.79724982424753	2.6068918041143476
23	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	0.0	1.0	all	20	1.4665755927562714	1.9895282685756683	2.722816064953804
29	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	0.5	1.0	all	20	1.4836510717868805	1.9875368773937225	2.729362413287163
35	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	1.0	1.0	all	20	1.4836510717868805	1.9875368773937225	2.729362413287163
24	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	0.0	1.0	nz	20	1.551218718290329	2.3595063984394073	3.135115757584572
30	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	0.5	1.0	nz	20	1.5694187879562378	2.3585027158260345	3.1432121098041534
36	0.5	1.0	1.0	0.0	0.0	False	1.0	0.0	0.9	0.0	0.0	0.3	1.0	1.0	nz	20	1.5694187879562378	2.3585027158260345	3.1432121098041534
