config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	bio_reg_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	post_gene_gamma	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	ae_bio_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	gene_rare_threshold	gene_rare_pbio	cell_zero_weight	cell_depth_boost	cell_depth_gamma	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	expr_bio_weight	expr_bio_temp	expr_bio_bias	expr_bio_quantile	expr_bio_scale	expr_bio_union	knn_bio_weight	knn_bio_temp	knn_bio_quantile	knn_k	knn_bio_union	clip_negative
1	3.6551835536956787	0.0	7.310367107391357	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.6	0.3	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.05	0.5	0.6	0.0	1.0	0.0	2.0	2	10	0.1	4.0	0.6	0.3	0.0	0.2	1.0	True	0.0	0.2	0.4	10	False	False
2	3.6679770946502686	0.0	7.335954189300537	0.94	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.6	0.3	0.6	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.5	0.6	0.0	1.0	0.0	2.0	2	10	0.2	4.0	0.4	0.6	0.0	0.2	1.0	True	0.0	0.2	0.4	10	False	False
3	3.649167537689209	0.0	7.298335075378418	0.94	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.3	0.1	0.6	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.4	0.6	0.0	1.0	0.0	2.0	2	10	0.2	4.0	0.6	0.6	0.0	0.2	1.0	True	0.0	0.2	0.4	10	False	False
4	0.5272579938173294	0.13778962194919586	0.7789367437362671	0.94	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.6	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.3	0.6	0.0	1.0	0.0	2.0	2	10	0.3	4.0	0.6	0.3	0.0	0.3	1.0	True	0.0	0.2	0.4	10	False	False
5	3.6551835536956787	0.0	7.310367107391357	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.6	0.3	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.05	0.5	0.6	0.0	1.0	0.0	2.0	2	10	0.2	4.0	0.6	0.6	0.0	0.3	1.0	True	0.0	0.2	0.4	10	False	False
6	1.029370628297329	0.0790562853217125	1.900628685951233	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.05	0.3	0.6	0.0	1.0	0.0	2.0	2	10	0.2	4.0	0.4	0.6	0.0	0.3	1.0	True	0.0	0.2	0.4	10	False	False
7	3.6638219356536865	0.0	7.327643871307373	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.6	0.1	0.6	False	0.0	1.0	0.0	4.0	0.0	1.0	0.05	0.3	0.6	0.0	1.0	0.0	2.0	2	10	0.3	4.0	0.5	0.3	0.0	0.2	1.0	True	0.0	0.2	0.4	10	False	False
8	1.0293706506490707	0.07905630767345428	1.900628685951233	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.4	0.6	0.0	1.0	0.0	2.0	2	10	0.1	4.0	0.4	0.6	0.0	0.3	1.0	True	0.0	0.2	0.4	10	False	False
9	3.6558330059051514	0.0	7.311666011810303	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.3	0.1	0.6	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.5	0.6	0.0	1.0	0.0	2.0	2	10	0.1	4.0	0.4	0.6	0.0	0.3	1.0	True	0.0	0.2	0.4	10	False	False
10	3.6669037342071533	0.0	7.333807468414307	0.94	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.6	0.3	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.3	0.6	0.0	1.0	0.0	2.0	2	10	0.1	4.0	0.6	0.6	0.0	0.2	1.0	True	0.0	0.2	0.4	10	False	False
11	0.5295273885130882	0.11986764520406723	0.819319486618042	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.3	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.5	0.6	0.0	1.0	0.0	2.0	2	10	0.3	4.0	0.5	0.3	0.0	0.3	1.0	True	0.0	0.2	0.4	10	False	False
12	3.6551835536956787	0.0	7.310367107391357	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.6	0.3	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.4	0.6	0.0	1.0	0.0	2.0	2	10	0.1	4.0	0.4	0.3	0.0	0.2	1.0	True	0.0	0.2	0.4	10	False	False
13	3.6669037342071533	0.0	7.333807468414307	0.94	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.6	0.3	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.4	0.6	0.0	1.0	0.0	2.0	2	10	0.1	4.0	0.6	0.6	0.0	0.3	1.0	True	0.0	0.2	0.4	10	False	False
14	3.649167537689209	0.0	7.298335075378418	0.94	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.3	0.1	0.6	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.3	0.6	0.0	1.0	0.0	2.0	2	10	0.2	4.0	0.4	0.3	0.0	0.2	1.0	True	0.0	0.2	0.4	10	False	False
15	0.8874935954809189	0.09204249083995819	1.5909022092819214	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.5	0.6	0.0	1.0	0.0	2.0	2	10	0.1	4.0	0.4	0.6	0.0	0.2	1.0	True	0.0	0.2	0.4	10	False	False
16	1.0467452108860016	0.07607272267341614	1.941344976425171	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.3	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.05	0.4	0.6	0.0	1.0	0.0	2.0	2	10	0.1	4.0	0.5	0.6	0.0	0.3	1.0	True	0.0	0.2	0.4	10	False	False
17	3.4884989212150685	0.0003035019035451114	6.976390838623047	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.3	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.05	0.5	0.6	0.0	1.0	0.0	2.0	2	10	0.1	4.0	0.4	0.3	0.0	0.2	1.0	True	0.0	0.2	0.4	10	False	False
18	0.5258834511041641	0.1596742421388626	0.732418417930603	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.3	0.6	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.4	0.6	0.0	1.0	0.0	2.0	2	10	0.3	4.0	0.4	0.6	0.0	0.3	1.0	True	0.0	0.2	0.4	10	False	False
19	0.5274181216955185	0.12805603444576263	0.7987241744995117	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.0	0.1	0.6	False	0.0	1.0	0.0	4.0	0.0	1.0	0.05	0.4	0.6	0.0	1.0	0.0	2.0	2	10	0.1	4.0	0.5	0.3	0.0	0.2	1.0	True	0.0	0.2	0.4	10	False	False
20	3.6552481651306152	0.0	7.3104963302612305	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.3	0.3	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.3	0.6	0.0	1.0	0.0	2.0	2	10	0.2	4.0	0.4	0.3	0.0	0.3	1.0	True	0.0	0.2	0.4	10	False	False
21	3.6627860069274902	0.0	7.3255720138549805	0.94	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.6	0.1	0.6	False	0.0	1.0	0.0	4.0	0.0	1.0	0.05	0.3	0.6	0.0	1.0	0.0	2.0	2	10	0.3	4.0	0.6	0.3	0.0	0.3	1.0	True	0.0	0.2	0.4	10	False	False
22	3.6551835536956787	0.0	7.310367107391357	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.6	0.3	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.3	0.6	0.0	1.0	0.0	2.0	2	10	0.1	4.0	0.4	0.3	0.0	0.3	1.0	True	0.0	0.2	0.4	10	False	False
23	3.554411307821283	0.00030483389855362475	7.108212947845459	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	True	True	False	0.3	2.0	1.5	0.5	0.3	0.3	0.4	False	0.0	1.0	0.0	4.0	0.0	1.0	0.1	0.3	0.6	0.0	1.0	0.0	2.0	2	10	0.3	4.0	0.5	0.6	0.0	0.2	1.0	True	0.0	0.2	0.4	10	False	False
